Priority,What looks wrong,Detail,Date,Accident Type,City / Place,Killed,Injured,Headline,Link
MEDIUM,no place identified despite a significant toll,,2026-08-26,roadway,Not identified,6,14,Private Travels bus collided with a lorry near Kodada.. Six died on the spot.. 14 injured - V6 Velugu,https://news.google.com/rss/articles/CBMigAFBVV95cUxNaUFEOWNSUUpMVGF2ejc2Z1hpRDRuNnZhYThiOHNLV0NPaDVBelIyWHp1U2RUNDJIcnBydV9Lc2Q4Qnp2WXZXZjZkdXNfMzZmZDZQZkY2V0RLdDFpcl9BODJONHY5cWp1Z0pPNHVycjhvVWYtTDRXZVRfYTNueXBWYw?oc=5
MEDIUM,no place identified despite a significant toll,,2026-08-26,roadway,Not identified,25,,"Died in a road accident on August 25, was going to get a ticket to go to Maharashtra - Dainik Bhaskar",https://news.google.com/rss/articles/CBMi3wFBVV95cUxQSDZYVmphc0VMQjFGUXdtZDNhSmVIT1pnek85NnFNVk9IYVk1OG5GdUstQ2daSzZNNEtaTEtlYjVsclBLRFozU3NYY3RVSWNMZ29XNDJQaVo5OWd0V3dzLTVvdTRGaTAxR0tZRmYwTzQyTlprT2xFYktjaVRsRDZRM0R4VFdDMlZPa2RLc1ZOdmpTRERCMkVoTHo2UERDbHpUMnRySllrUU00TXN6TV8yU2xoMXRfSlBkcUF3VXljTTNlQncwWWpycW1GT2syTzkxaFBQam5vbzdBMHhkcTVN?oc=5
MEDIUM,no place identified despite a significant toll,,2026-08-26,roadway,Not identified,4,,4 Of Family Killed As Speeding Truck Hits Car On UP Highway,https://www.ndtv.com/india-news/4-of-family-killed-as-speeding-truck-hits-car-on-barabanki-bahraich-highway-in-uttar-pradesh-11962146#publisher=newsstand
MEDIUM,reports disagree on the casualty count,killed reported as 1/2; injured reported as 2/4,2026-08-26,roadway,Gurgaon,2,4,"Gurgaon News: One person killed, two seriously injured in three separate road accidents - Hindustan",https://news.google.com/rss/articles/CBMi5gFBVV95cUxPbmN3bDVJU1VNS1NQN1o3YmthZkctQlVpbmdrNkpHdFZ5Mk5jY00tZXRBMUNvNEcySldwXzJzdHR6X2tGanpiWkFwbzczcTh3d2pVdS1lOVlaVFc0S1B6VV9fTXM5cElnUkJfeGJMZ3lOa2h2YXFUVDVFS29tMTBlUl80QWotVDR3Um1qWDRmWTJyWDlXaHloVnZZUEY2TDdfRUFxNmxoZGN4UkJyT0VobFlUSFBHOVViTm9OYWg1cG5SWmJhcU1vSEwxUlZBaU5nVkZPOFZNMG1mTnROcU9hWl80cmFlUdIB6wFBVV95cUxNZS1hTTUzaWVFSUtJaDR3VWhZNFl1ZzBaaXlQS1dMT3VLNzFHdnJoVldTREtMOUFsRXdiaFBHUTdKYW9hYXZOaEtlaGcweFAwNlp0bTNGSVYwYlRMbFdFbHZlS1pNZTN2VDJ5QTVJWE9yVXNmaGhBTWJCS2pzSmdQS29Mb2ZxVUt2d0FLT0FuSGNnZDUwQVpZU2dmX2lzWkZCcXFuV0UtZk1pbHJBQVB2RTNvZDUxQkFSYm90cFZ5Q2cyd012REduYy1JcjdHLWZRYm82N1RuRzB5LUw3b2ZKSmtLT1RxTkkxYXpj?oc=5
MEDIUM,no place identified despite a significant toll,,2026-08-26,roadway,Not identified,7,,Fatal road accident in Chilukaluripet.. 7 dead - Sakshi,https://news.google.com/rss/articles/CBMikAFBVV95cUxNdUlZbFBoSUxIQ3pvajEwdzVaWUFFLVZ4N1c5R21uMXl1bWVwMUhINi01WDYtTEdZNm5fQjA0OGkybHh5OFFRZWhNWjVaWDgyeHFoSHkwekN0TTFXaFhPUnd1N1dlQUtrSjVFTWJPcDhJYWZpRTRiaEJJNlpNdzNSOFgwVDdGSEJwdmhKaXdyM2I?oc=5
MEDIUM,reports disagree on the casualty count,killed reported as 2/3,2026-08-26,roadway,Cuddalore,3,,Three killed in road accident in Cuddalore district,https://www.thehindu.com/news/national/tamil-nadu/three-killed-in-road-accident-in-cuddalore-district/article71399856.ece
MEDIUM,no place identified despite a significant toll,,2026-08-26,roadway,Not identified,7,,Road Accident: Fatal accident in Palnadu district.. 7 dead - Eenadu,https://news.google.com/rss/articles/CBMisAFBVV95cUxPSEJDSGcwM3lWTV90T0w4UFdyU2lEckZZVEU2UEJHN1gyVVhsVExxcEZkaGdfc2trd3JtazdFNWpUeU1OTTVHai1WRmRpN0I4MjVUeHRJNVF1cGw1eXBCXzNCYnlwSXR6dHZ4ci1uOTgwc0RIalhnMDAybm4xUFpfUUIxVVJzNjdPWV9BWjlMb2RpQmFNa0xqR2kwaTYxcHY0SUJBOEtuMHhoeGxJRFY1ZNIBsAFBVV95cUxPSEJDSGcwM3lWTV90T0w4UFdyU2lEckZZVEU2UEJHN1gyVVhsVExxcEZkaGdfc2trd3JtazdFNWpUeU1OTTVHai1WRmRpN0I4MjVUeHRJNVF1cGw1eXBCXzNCYnlwSXR6dHZ4ci1uOTgwc0RIalhnMDAybm4xUFpfUUIxVVJzNjdPWV9BWjlMb2RpQmFNa0xqR2kwaTYxcHY0SUJBOEtuMHhoeGxJRFY1ZA?oc=5
MEDIUM,reports disagree on the casualty count,injured reported as 6/8,2026-08-27,roadway,Andhra Pradesh,7,8,"Bus and auto-rickshaw collide in Andhra Pradesh, 7 dead: 6 injured; There were 15 passengers in the auto, wrong direction ... - Divya Marathi",https://news.google.com/rss/articles/CBMiwwFBVV95cUxNVDJTeXpkbmNBSVpNVk9PWjZuZ21tNUVfV0ljVy1rdzktRjk5WXFqTmFvS1d4TTc3YmZrcGlRWWozb2VJWXdPNlJLaEppQ1dRQjhPLXgwYzJpeWN4UUtCZ3B2Tld2aG55ZmlsVUhqQmVzR1VsYkE2TEN0aXdja25BYnYxMVl4eHBaZTFjR0VhSmtlSFBoWXdEMUg0cEYycl9tQXNPVl9uWUlSQkxmS3dOV3VfdkE5elpZRVRfWU8zaUxFcTDSAcgBQVVfeXFMUEZXX0diSlRFdDhLenVNdmkyNVRHaUlZSDRMTWRsVVBndlBjLVJIclhpRHVKSzlhbGZfUjNNRVVYUmtXNW4yV3lrc205aWI2MXlJZzRwS0pPUGh5dUh5S2RoZldjM1JMci1uTzV3bjdPWVVkUXRJbUZOWVhQdWZBT05YOXZQUmNiNjJXTlQ2ai1LTVlhSFZ6NjBSQ3ZZVUV0QmtLMHlGYXpnNHRWUlZ1NklWbjhPcE1YZEdMREJmbWF2c1JsaV95WGE?oc=5
MEDIUM,reports disagree on the casualty count,injured reported as 2/3,2026-08-27,roadway,Sitapur,1,2,"Youth dies due to collision with unknown vehicle in Sitapur: Wife and two children injured while returning from in-laws, all three are being treated... - Dainik Bhaskar",https://news.google.com/rss/articles/CBMi0wFBVV95cUxPaFU0eTZQUnE5clozMEdiUm02QkFRZ2FIYjFrSzNvSU16X3ppNlYwZ2FaZ3kwZjdUNkFFazBnb2ZmUWpvXzJ2MWJvbDl0dW5sRWFMcTJnMGVOUVdGTHVoQmJ3RFJuNEs0OHlYRk1WaS1HblBsLUlYR0lFckhKUFhUTWpla3p6ODFhYTJpZ0stcWV1dVNDYVJmTkFFS3dhYkQzRG05ZXVmazdNaVBzaGdDQXlmWjdLQWJMY01oQmVkaEpxbmJ0cURGTEVVb2RUZEV1SmlF0gHYAUFVX3lxTFAyRHFsMDVwWmk1V3lsbUY4UXpwT3B2b3hJNGEwbjRuc3dELW1QbUJsa2dBM2Vrc29iVEdOQkJnWnJqM29MdVd1QkxkaFU2WkxDY05UWF90blcwX2pYaDlEZnU3djZ1SDlrVlhBS0tHc0M4SUJTQmJFb1VJZGxITTNwc2liZkdGV2tsbGc3SDJUMVdFSG1LWDVkY1FLSDhrZGhnZWtCWlJrTU9wZkVwREFoek10OFVOTk41SXFNNEdNbHhfTHdHMXlfM04wN0ZRcDV3dEdMUzRpag?oc=5
MEDIUM,reports disagree on the casualty count,injured reported as 20/35,2026-08-27,roadway,Kerala,,20,"Bus overturns in Kerala, 20 injured! - Puthiyathalaimurai",https://news.google.com/rss/articles/CBMiiAFBVV95cUxNZVlfb3p1bTQtSzNPTzZJYXlGck5MdWlTa0lqT3pBdlNYMVp6YUdZQ2s1Zi02ZWxoa3QzS0FrZ1JkMlpJd0ZYME9qclp3Skg5Z01FWHNfZ0NfTklEenVBcG50cTIzMkhUeFp1VHVlRjJhYXpwYUVIRWN3ZlZaLTh4Zmtpa0ZJclZn0gGWAUFVX3lxTFBqTkl6VVZkMHY5T1FON1pnRTZsZEZ5X2tqQjZ6ODcxTVhudlRnNGlsX3BTdGY1bTFqSEJmVmc1SWZIbTFUMGVlOU1FMXI0UTlEM3M5TG1GWHFBa2szcXNjZ19nRzBvSVZvalNNNGlxVGxOLUw1amZtMFo3UklJYVZYRXRZVkJ0ZmlBY1c1RDduNFJBbFVHZw?oc=5
MEDIUM,no place identified despite a significant toll,,2026-08-27,roadway,Not identified,7,10,"Bus going from Vijayawada to Tirupati collides with auto, 7 people from same village killed, 10 injured",https://www.palpalindia.com/2026/08/27/Amravati-%E2%80%93-Andhra-Pradesh-%E2%80%93-Palnadu-district-%E2%80%93-Bus-going-to-Tirupati-%E2%80%93-collided-with-auto-%E2%80%93-same-village-%E2%80%93-7-people-died.html
MEDIUM,no place identified despite a significant toll,,2026-08-27,roadway,Not identified,6,,Road Accident: Speeding.. Six killed - Eenadu,https://news.google.com/rss/articles/CBMipgFBVV95cUxQTkNxT1BlWXBXRXZpQU01WVNlY3B1bmd4b25DVDg1VnFNRXV3M3hHWGg4TTJQN19pSlhtRlJ6aElKejBneWNOWk1jQVBLSnNyOURRQVhkbW9yNjBCdFpyS0FsMENaQTBjX1JwN1dmYzhRdGgtOUF6MXNKTGVHNUJ4S0pJMUxfSEZtOVBtRlNLR2RCeTVBWG80LXRBQ0VqSVJSUi1RcDNB0gGmAUFVX3lxTFBOQ3FPUGVZcFdFdmlBTTVZU2VjcHVuZ3hvbkNUODVWcU1FdXczeEdYaDhNMlA3X2lKWG1GUnpoSUp6MGd5Y05aTWNBUEtKc3I5RFFBWGRtb3I2MEJ0WnJLQWwwQ1pBMGNfUnA3V2ZjOFF0aC05QXoxc0pMZUc1QnhLSkkxTF9IRm05UG1GU0tHZEJ5NUFYbzQtdEFDRWpJUlJSLVFwM0E?oc=5
MEDIUM,no place identified despite a significant toll,,2026-08-27,roadway,Not identified,7,10,"Fatal bus accident at midnight in Palnadu.. 7 dead, 10 seriously injured..! - Zee News",https://news.google.com/rss/articles/CBMisgFBVV95cUxNaUlBdExVUzRCQkNaWXlWazdoUGJaNS0xbG1mTWtsdXdnWEQyN3lTbTNTVDdrQ0c2R3l3b3BwU2RkQWJuZ2VLc1k1QTY2Nm9QTFdhMDdKWkRvQ3VnX2pPVDNtdy0teWtub0E3WHFLVld0dlFIMXVTRlZWNGlnc1RRRXpPRGswTEw2eDZYcUw0ZUU3dDdBeWtIQUZMT01sd1d4YVpZN1VaY2ZObE9ma1VWU05n0gG3AUFVX3lxTE1hTnRyV2RPMEFFQ1R4MS1NdVl3cU4zQVBVZlhXMXpPdzJPOE40NTJ0QThWbW5sbWo2bnNlZmRJNElOc3FGSkdkN3RBMXV2YzNzR244ZWJXY1RrZ1hmMmFNVnE5UC1yS29tNFAtY3dzMi0wOWR1ZDRvemxZZzZDMzRTX1hLaVRDUTh4b1YyVnktRGdVWGF4ckRnNXZmcFd5VWZYWGtxZl95cU5FOVF0bXF5bFVxeUZYQQ?oc=5
MEDIUM,no place identified despite a significant toll,,2026-08-27,roadway,Not identified,7,,Road Accident: Another tragedy before the Suryapet incident is forgotten... Seven people from the same village died - hmtvlive.com,https://news.google.com/rss/articles/CBMizwFBVV95cUxObEFTV0FFb1N3RWtKN3JZcUhjcjN1RGtXVEM2aTVVTUJCeW45a2ZXWXZMd3BpUkJzOXVLYXV5VXg4LUM3UkNRdDh2T1pSdHlvR1p3OUNmZEtnc0pseWJGUm5xS3JzSmJUVUNnVGdWaHR5dF9iUFNEbXUybEo0WVAyR0RzbFFXYmxwVEVYNFJaMl9rYzRhOE13OFotNDJZdFdPaUU2QWZyYUZiek5JdjJFZENFX1QwTHdJakw1S0VOOXpISzAxdzhfbW5PNEQzR03SAdQBQVVfeXFMTlhKdmF0NGNtTnFjaS1Zb1ZadlpTRHUxcEpTSHpEMXRMLWxwQTFQQ0VUZlR6dzBHZ3I4NGVYRk9pczJPNnkwUEVnRjRHX1otT0VPUTlUR1I4dHVRaU4zOEUyNWM1MGg2ZUlaV0lNa0NwR1ZKcnB6Q0RCZElCWVcwMXg1QVJuTGFZdlZHRkhmT2tiTVNScDYybTJodG1hZ1FXV2x3M3VOUExCX3NmWC1tMmdSdFJKckNVUVl0VnJsMzZZNmpvQ1FEODgxZnZETFJEYWR2eEU?oc=5
MEDIUM,no place identified despite a significant toll,,2026-08-27,roadway,Not identified,7,8,"Deadly road accident in Chilakaluripet.. 7 dead, 10 injured | Hindustan Times Telugu - Hindustan Times",https://news.google.com/rss/articles/CBMi_wFBVV95cUxPRXJPWWJuT0dPOUFhSUx5MU1vQlNXaXR4Y3dtWmVfQUFHZ3E4c2IwOW82Y0o4RnVpQnh5QWNQbGw5Q05YRTV1M3lsQU9vVjlnWko5UzgyZkFNSmM1aGdwOWc1a21YVlJJV1JFR1lSM0RBN3l2ekozem9GOC1iTXRxSDRfQk03MjRiMXljVDdJRDZsZ2FYSXdVenZhd1g1RjM5RHp6SjZWNk9iX2poZDRNM2l0VE02Wi1FS0hJbE9sSlRMSGpfdVUwbklKOXhlUDlNY0U2R0Q5eFp6YnlFNE9zWkM5bzdYS2Q3R2NqT3ExY3U1RFhqc2hrYUIyY3RoNDTSAYQCQVVfeXFMTndkREo2R3NfREhyWWJfWVRPSE83TEZwOGI4cjZ1OVpwREtweEhJVVdsSEg5Qzl0bE9xdnNtcFVBZk10a09iRHBSeC04OE9pSi1YWi0zY2JzNjdneXczMnhKZ3JmbDh2ckxZcFFuTmUzY2duNlQ1NnJjOTRUZ0MzSmphV01WbUs4dldlU0pQMTA5dmZ1QXpybUd2SWY5V0dWSnEyV1VyTUdscjRaZkxlYWNka201YXNrSXctbDJ3QlQ1bGtzVVVoeGhMVEQ5UF9YNWVmdm90ZS1wakdqNHZZQW1OUi13cF9ERmFrUnM2VlpHRmwyR05rR3o4SHFrc3hmMzF4UWo?oc=5
MEDIUM,reports disagree on the casualty count,injured reported as 8/10,2026-08-27,roadway,Not identified,7,8,"Deadly road accident in Chilakaluripet.. 7 dead, 10 injured | Hindustan Times Telugu - Hindustan Times",https://news.google.com/rss/articles/CBMi_wFBVV95cUxPRXJPWWJuT0dPOUFhSUx5MU1vQlNXaXR4Y3dtWmVfQUFHZ3E4c2IwOW82Y0o4RnVpQnh5QWNQbGw5Q05YRTV1M3lsQU9vVjlnWko5UzgyZkFNSmM1aGdwOWc1a21YVlJJV1JFR1lSM0RBN3l2ekozem9GOC1iTXRxSDRfQk03MjRiMXljVDdJRDZsZ2FYSXdVenZhd1g1RjM5RHp6SjZWNk9iX2poZDRNM2l0VE02Wi1FS0hJbE9sSlRMSGpfdVUwbklKOXhlUDlNY0U2R0Q5eFp6YnlFNE9zWkM5bzdYS2Q3R2NqT3ExY3U1RFhqc2hrYUIyY3RoNDTSAYQCQVVfeXFMTndkREo2R3NfREhyWWJfWVRPSE83TEZwOGI4cjZ1OVpwREtweEhJVVdsSEg5Qzl0bE9xdnNtcFVBZk10a09iRHBSeC04OE9pSi1YWi0zY2JzNjdneXczMnhKZ3JmbDh2ckxZcFFuTmUzY2duNlQ1NnJjOTRUZ0MzSmphV01WbUs4dldlU0pQMTA5dmZ1QXpybUd2SWY5V0dWSnEyV1VyTUdscjRaZkxlYWNka201YXNrSXctbDJ3QlQ1bGtzVVVoeGhMVEQ5UF9YNWVmdm90ZS1wakdqNHZZQW1OUi13cF9ERmFrUnM2VlpHRmwyR05rR3o4SHFrc3hmMzF4UWo?oc=5
MEDIUM,no place identified despite a significant toll,,2026-08-27,roadway,Not identified,7,,Chilakaluripet: Deadly road accident at Chilakaluripet.. Seven killed! - hmtvlive.com,https://news.google.com/rss/articles/CBMivAFBVV95cUxQaFF6UWNUdTRDMnh2OHpockxoMXR6enUxdTJyb1NRTUVWWEh4SE8wdFdHTUdxYl9PQ3FibEtTZF83WFU5Tm5Yd3dWbTg5NDhjdjJqSTJpOC1BeWZYQXhmQXRxRV9QNFZvRWhjRjhncTRHTnBhXy1hZ2dNTDZrbVlEdVM2TkhOUnh1cFNIakkyY0xxVWxVcWVTZ2pVWl9oN1cwUEJZMF9MTkkyaFhVeDM4NkQ3TVczRXhRTjlZUNIBwgFBVV95cUxPNmVQTXBucWNxal80bkx4c3ltWjZnN0J2WEFuSF84UnFiV3R1a2NIM0x2YmVkT09Fa0lUQ1htSlVHYlMwRlZtWnZNcU1ybmhvZ0Q1czNtOG5sTmU5bUZOSUZSclBCSXhabEVKMVNSeVdVNU9RbWZqSmM0VzBBZGtrWXBmaWNLZUc3QzZtS2YzakpkT3BoV2JVeE5HYmxIV1Q0SGN0dlN4V2lKbTJXcHczLTdBeWVSQzNJZ3Z0Zkt3OHRnQQ?oc=5
MEDIUM,no place identified despite a significant toll,,2026-08-27,roadway,Not identified,7,,Chilakaluripet Road Accident: What was the cause of the accident in Chilakaluripet of Palnadu district? Who took seven lives?,https://telugu.abplive.com/andhra-pradesh/vijayawada/chilakaluripeta-kondamanduluru-addarodu-accident-private-travels-bus-and-auto-collision-257338
MEDIUM,reports disagree on the casualty count,injured reported as 5/11/16/20,2026-08-27,roadway,Ayodhya,3,11,"Horrific accident on Purvanchal Expressway in Ayodhya, speeding truck rammed into bus from behind; 3 killed, 20 injured - Navbharat Times",https://news.google.com/rss/articles/CBMi6gFBVV95cUxQZExHQnZCVUdyUHhwM0wxdUVqeDA3NkJ0dmx2REtBWGVwMHViVU5ENllBYzVaQ3pTRDRaNzdnMXp4bVRkUmN2ZmMyRXMxamJWVkdqOUZaMkFOa0dkVzUwZjloNFlPUmdUbGl1ZTV5TVVQc01ldnZ5dHBRdUd4VFZ3NHI0WGtVSmI0OXVxLWpLLVluaUh5RFdYc1FlSy1YSXExUEhCR3djMHJzLTJUNFRXN2k3aTgzdmgyV0dDV1FMUXZtT01kdnNMOC12QnA0SUhrLUpCSWJ3SXBSYU1MRW9nXzJHWHk2Rm53V2fSAeoBQVVfeXFMUGRMR0J2QlVHclB4cDNMMXVFangwNzZCdHZsdkRLQVhlcDB1YlVORDZZQWM1WkN6U0Q0Wjc3ZzF6eG1UZFJjdmZjMkVzMWpiVlZHajlGWjJBTmtHZFc1MGY5aDRZT1JnVGxpdWU1eU1VUHNNZXZ2eXRwUXVHeFRWdzRyNFhrVUpiNDl1cS1qSy1ZbmlIeURXWHNRZUstWElxMVBIQkd3YzBycy0yVDRUVzdpN2k4M3ZoMldHQ1dRTFF2bU9NZHZzTDgtdkJwNElIay1KQklid0lwUmFNTEVvZ18yR1h5NkZud1dn?oc=5
MEDIUM,no place identified despite a significant toll,,2026-08-27,roadway,Not identified,7,,Passenger bus crushes auto: 7 passengers die in horrific accident - ETV Bharat,https://news.google.com/rss/articles/CBMi8AFBVV95cUxNc3RlZGlreE8zWmZFMWxYUUJVUDV5VFloR0YyWlhLanJaV0Zkc0Etd04xOVhuU1pFV0RCRUJpSmZuRzJZWmkwb1hmd2ZSbXRBSnV5LXFmQ2xENHVKQXdEMFlSZWJoY1Z0UzVKcHBMNDhpRG9EMTFWZkpYSUZtNTVzcjhjNXUzMDZtTXVsMjBBVkhDTnowcGZVU0Q3ZHpHdWlWd1lwd25lUks2WlotQ1FJMUwxdXBZM3oxMkpLMWUwUHRHQTZvQlJCZmNjVjI5QnUtcHVJbXpLN3hwVWV5WkZINVJqaTQ5WjNITzVXTklMRk3SAfYBQVVfeXFMTlRwVkZibnNsUG9qSVI3WUgybEZBX1o1akU1eXBGREc1b2xoSVd2eThCTlRjendwWjhRVndmaWlaV3JxZFpYYnBPZ19tTWtZLTFxb0FqX1lUYXhid1VOVWxNaVZBXzgzalZSLVpWYnUwUXkzc3NnamRPVWtaYnZaY0plVjFyZHkyeElwbmZMVFJCbFZFNW1OVGMwTWZSd1NNV25SVVpucHRDazdNc0lheTgySXpXTXpKbEQxVWZLei0ybEFRd2E4NUVnaVNPanhKdmJGZmE3aHRlZ0FESEFxSVJOQ3JPV181NUs5M1BCSHRNY3VTWjl3?oc=5
MEDIUM,reports disagree on the casualty count,injured reported as 14/18,2026-08-27,roadway,Hathras,,18,"Roadways bus hits parked truck, 14 injured: Accident on Agra-Aligarh highway in Hathras, driver referred to district hospital - Dainik Bhaskar",https://news.google.com/rss/articles/CBMi1AFBVV95cUxPdVd4YVVEYURNRjJNbVU4VWhKSFlTZFVjMERWTThoM3VpZERMWnU0SWdIcUF4Wmt2MVZGQjdYR1VxQWRyNUNWS0FkWWlYT0hoVk1oZTVScjlIRno4QktyUnRZeTVxLVVzZkN4Y0g4eGxlV3VEWmo5Q2owRnFYZWFaTEthT0VMeS1iVU5NMkI5a3VDY0VXRHpTUnFIX00zaEFiaHBoaTN6NEdGc28tWVJQWTJacDgtQWRNNWpkWTR2OG5wZUxPRkpoQVAwdVRJOXhrb0N6atIB2gFBVV95cUxOM1RqWklwaENySENVOUFDOV9tVGxRVThmV1NfS3o5NmQzRWxIWmFzYmNfeDRFT2JiWjcyLXZWUEp6dHM1Um9ZMzBvSjdIbWJHNmd1OXF5MHUtcjd3d0hYbHZ0LUFwQmo4NGxaMjNHWEhXanpMY0dFbWgwS3hJeURKNG1XYjFCa3FjVEhrejQyNmFCeXRnSjI1WFNUa25tOEJQaExUbmhvTXZLazlXcW5lNnQxMWI3T29FMk1lYUJud0FvWjBGSEFibVp1RUJINGs4S04tSmM1b0xZQQ?oc=5
MEDIUM,no place identified despite a significant toll,,2026-08-27,roadway,Not identified,3,,"Accident on Purvanchal Expressway: Bus going from Gurugram to Bihar was hit by a truck, 3 people died - Jagran",https://news.google.com/rss/articles/CBMixgFBVV95cUxNNjRBM3NDTnM1NHk1aDJsVTQxbExkSUpWSU5jYUIta3BzTWdyaEt5dGljWGk4YXNZcTRKanJBN0ZjT0xBVzhWMnlqNWI2TTlnQjlQZlViNnhwYmdHSUQ2aFVTcXB2OTJsUzVhQ3JUNndoR3NGNW84OVNuQ2V2RnpIenlmMU9Vc0Y0Y0ZZMlc1b0JsNUJCd2R2djhPRVFVeWRMRVliM21YRUtjbWNSMUM2d0RDN3lzdXBIcXpZaGx1RnZmRGQxRHc?oc=5
MEDIUM,no place identified despite a significant toll,,2026-08-27,roadway,Not identified,7,10,"7 killed, 10 injured in road accident in Prakasam district of Andhra Pradesh - Dinakaran",https://news.google.com/rss/articles/CBMicEFVX3lxTE9NYlFhemdpWkhEazJXSk96QjFHUHhzZTlOdFIzZ0dnM3JRVTY1eUlFZ29KUlRNZ0taQXVMeWVfdDAtU1ZxTVExb1JrVFF1VUtEQTNab25EeWNUMHlhWi1KVTlYbmUwVS1fS1MxR0RfVmPSAXRBVV95cUxOdDNsNGY2akd2andlb2RpcXpiRjAxR241OC1PWGoxa0hLdWxWMlozTUk3aEVaTFhzN0xjNXFGXy1KYzJ5QmRaTGR2WFFtbnlRSFRySG1adExoSWtqd1FfczVNTzE5ZnNJU1Fyb2ROeGVldkNsdA?oc=5
MEDIUM,no place identified despite a significant toll,,2026-08-27,roadway,Not identified,7,10,"Heartbreaking accident : 7 killed, 10 injured as bus rams into auto on National Highway - Punjabi Jagran",https://news.google.com/rss/articles/CBMi8wFBVV95cUxPZEF3b2FaZi11ajlfX0NzaUxaTFEzU3dhQlVMY0RVbVJlRE5lcTc5dEZsZlRGRGg4U3hsaXlER3RLREhQR2NpcnRObHU1djBBWU5OVDY3V0lFSnhWcElSdldSbjBmODRPSE1QT0VkMkJTMm5uRlp3NThaSHBfRnZod2VrTmw0QU9oNmUzc0JtaXJ3MlpkRWltYXdhOVdDaEg4QXFZdXZoZlp1MHBsdjg3UW1Dd0J0cjR5QVBIZjA2UmM4WFNkOU93R291VDJiazVfdC1QbE9ub3NUank5Y0RZSDhUdjEwRlp1NG5kdTUxUHFJZWM?oc=5
MEDIUM,no place identified despite a significant toll,,2026-08-27,roadway,Not identified,6,,"8 people were returning home from a birthday party, a bus hit an auto on the way, 6 people died on the spot - AajTak",https://news.google.com/rss/articles/CBMi2wFBVV95cUxORlByUUtYT1N3RFVNQmZsT1pkQUNFbDNodlVOLUFNSUM1TGtPUnp3d2lLZTBQWVE1VldDQ0FxZmdwbkJnYnNadXZFOXdEWXlRZXpWS3dlOXNyY1lRaTNNcXVvOVBXZldSc1E4ak9CTnpHb2FOYVBSUFpJLVdiYWVrd3BfMFhEN0lUbjFXUmN4X2VmT1Q4T0hzLWpkVXBHeWtQV2traW1XTGJwbW43Snl0bXUzbTBkU0VxTl9GMTk1TU9GS3ZlRHFXSm52ZEt3MVQxNHc1Q3ZpUkRaYnfSAeABQVVfeXFMTm85RF9CVGg5X2FsS3B6dTc5SU5WWkpaRWVPbV9pT1pGTkhKSFUyUk40SGtWeEFOb0NPTGU0dU1od0pNVlJhaDZnc0VTZm9aZmFDaHhaXzFxcnpnbVFMaG5pU3BOUDZ5RldpUHE5VUItOE1VVktIR3NaZlg2dlZtdkpxM0FxTEZ2aUc3aDIwMUNjUTluWXJMUlBJbzA5VU84UTVIeWZEZzJBNF9DaEs2aEZSRGMwaE9xMlVaTlgyalRXZXBVN3E4MXhNcHV2eFBJUUZfdjdlclN2SThPS3dIczI?oc=5
MEDIUM,reports disagree on the casualty count,injured reported as 25/35,2026-08-27,roadway,Not identified,,35,35 injured as tourist bus overturns in Koothattukulam - Asianet News Malayalam,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNa18ycVk5dTlYLXR3VGViM0lNcDA4N0VXTEE2b3FhQVdYMURWS2w5MTZlNWxsMkwzV1ppNmxRZGo3MkZodHJsOG0tYzVXVVJsVDk3UXJ1ZzVldU83VHpINXdxYWF4UEJhSWVTbE5kRHZOdUpoNlFySldzMDJRVHNEV3BaSXEwS21WTmNvNTBUaC1SaXp2cFFtcGFpZkdOOEVndFlpVzNoNFo0SW1pekhtTjdsaWhFbVM5Zlgw0gHAAUFVX3lxTFBfN01HN1hQRktRSks0eG1NTF9Ndl9qUUlxU19WeFllVld3dFdqTDJKSGJBckpSSmRwSDlHYlNIMlBJMmx4ZWJCTEhUNTI2cmp0NVBOQTBIaFB4UEdWUmhmaXdHejdfTkRpOWJqZDJmN25RMGRVV21uOTlRMjNjS3ltVE90dkpadjAxVzQtc0k0VGVxMWt6emU5U3F2TWx0bEVGVVpSdDA3UUNNMG9ZZk9fbjZ2N3I3cy01bGswdnRiVQ?oc=5
